Word,Difficulty
disparities,0.22
disparity,0.12
dispassionate,0.61
dispassionately,0.48
dispatch,-0.35
dispatched,-0.43
dispatches,-0.27
dispatching,-0.35
dispel,0.25
dispelled,-0.09
dispensable,-0.18
dispensary,0.49
dispensation,0.45
dispense,-0.33
dispensed,-0.08
dispenser,-0.16
dispensers,-0.17
dispensing,-0.09
dispersal,0.17
disperse,-0.12
dispersed,-0.05
dispersement,0.69
dispersing,0.16
dispersion,0.08
dispirit,0.36
displace,-0.24
displaced,-0.3
displacement,-0.28
displaces,-0.33
displacing,-0.2
display,-0.51
displayed,-0.34
displaying,-0.08
displays,-0.55
displease,-0.22
displeased,-0.08
displeasing,0.12
displeasure,0.2
disposable,-0.19
disposal,-0.23
dispose,-0.31
disposed,-0.4
disposition,0.03
dispositions,0.21
dispossess,0.51
dispossessed,1.09
dispossession,0.89
disproportion,0.61
disproportionate,1.21
disproportionately,1.27
disprove,-0.29
disproving,0.29
disputable,0.12
disputant,0.73
disputation,0.22
dispute,-0.45
disputed,-0.06
disputes,-0.27
disqualification,0.77
disqualified,0.29
disqualify,0.18
disquiet,0.41
disquieting,0.49
disregard,0.15
disregarded,0.1
disregarding,0.18
disremember,0.96
disrepair,0.86
disreputable,1.04
disrepute,1.19
disrespect,0.27
disrespectful,0.34
disrobe,0.33
disrupt,-0.31
disrupted,-0.24
disrupting,0
disruption,-0.05
disruptions,0
disruptive,-0.1
disrupts,-0.2
dissatisfaction,0.45
dissatisfactions,0.76
dissatisfied,-0.08
dissatisfy,0.3
dissect,0.17
dissection,0.04
dissemble,-0.07
disseminate,0.71
disseminated,0.66
disseminating,0.69
dissemination,0.74
dissension,0.22
dissensions,0.94
dissent,0.11
dissented,0.26
dissenter,0.22
dissenters,0.22
dissenting,0.12
dissents,-0.01
dissertation,0.13
disservice,0.92
dissidence,0.26
dissident,0.25
dissimilar,0.21
dissimilarity,1.11
dissimilitude,1.36
dissimulation,0.63
dissipate,0.29
dissipated,0.5
dissipating,0.51
dissipation,0.45
dissociate,0.25
dissociated,-0.07
dissociation,0.18
dissolubility,0.65
dissolute,-0.14
dissolution,0.03
dissolutions,0.15
dissolve,-0.44
dissolved,-0.4
dissolving,-0.22
dissonance,-0.01
dissonances,0.53
dissonant,0.37
dissuade,0.54
dissuasion,0.37
distal,0.03
distally,0.29
distance,-0.51
distances,-0.38
distant,-0.5
distantly,-0.13
distaste,0.25
distasteful,0.29
distemper,0.56
distend,0.61
distension,0.34
distil,0.24
distillation,0.34
distilled,-0.28
distiller,0.15
distillers,0.08
distillery,0.31
distilling,-0.07
distinct,-0.53
distinction,-0.08
distinctions,-0.04
distinctive,-0.13
distinctively,0.16
distinctly,-0.07
distinguish,-0.34
distinguishable,0.42
distinguished,0.01
distinguishes,0.19
distinguishing,0.1
distort,-0.29
distortable,0.52
distorted,-0.36
distortion,-0.1
distortions,0.16
distract,-0.38
distracted,-0.1
distractedly,0.17
distracting,-0.09
distraction,-0.22
distractions,0.11
distraught,-0.1
distress,-0.28
distressed,-0.21
distresses,0.19
distressing,0.11
distribute,-0.02
distributed,0.07
distributes,0.25
distributing,0.24
distribution,0.15
distributions,0.01
distributive,0.63
distributor,0.13
distributors,0.01
distributor's,-0.02
distributorship,1.18
district,-0.53
districts,0.06
distrust,-0.45
distrusted,0.26
distrustful,0.09
disturb,-0.55
disturbance,-0.13
disturbances,-0.08
disturbed,-0.33
disturber,-0.16
disturbing,-0.16
disturbingly,0.49
disunion,0.77
disunite,0.88
disunited,0.63
disunity,0.51
disuse,0.18
ditch,-0.56
ditches,0.08
dither,0.01
ditties,0.25
ditto,-0.18
ditty,0.3
diuretic,0.68
diurnal,0.47
diva,-0.23
divan,-0.05
divans,0.36
dive,-0.44
dived,-0.17
diver,-0.33
diverge,-0.14
divergence,-0.16
divergent,0.08
diverging,-0.12
divers,-0.14
diverse,-0.27
diversification,1.01
diversified,0.41
diversify,0.06
diversion,-0.27
diversionary,0.76
diversions,-0.11
diversities,0.49
diversity,-0.36
divert,-0.2
diverted,-0.16
diverting,0.08
dives,-0.48
divest,0.44
divestiture,1.25
divide,-0.43
divided,-0.5
dividend,0.11
dividends,0.07
divider,-0.23
divides,-0.18
dividing,0.1
divination,0.2
divine,-0.44
divinely,0.08
divine's,0.05
diving,-0.24
divingboard,0.35
divining,0.14
divinities,0.51
divinity,-0.14
divisible,0.47
division,-0.39
divisional,0.27
divisions,-0.31
division's,0.24
divisive,0.23
divorce,-0.58
divorced,-0.56
divorcee,0.41
divulge,0.17
divulgence,0.58
divulging,0.46
divvy,0.44
Dixie,-0.31
Dixiecrats,0.37
Dixieland,-0.03
dizzily,0.29
dizziness,-0.39
dizzy,-0.54
do,-0.76
Doberman,0.74
doc,-0.19
docile,-0.16
docilely,0.84
docility,0.36
dock,-0.37
docked,-0.25
docket,0.08
docketed,0.24
docks,-0.5
dockside,0.01
dockyard,0.2
doctor,-0.68
doctoral,-0.2
doctorate,0.22
doctored,0.22
doctors,-0.73
doctor's,-0.7
doctrinal,0.43
doctrinally,0.34
doctrine,-0.27
doctrines,0.09
document,-0.62
documentaries,0.45
documentary,-0.14
documentation,0.24
documented,-0.23
documents,-0.43
dodge,-0.57
dodged,-0.25
Dodger,-0.01
Dodgers,-0.3
dodging,-0.25
dodo,0.54
doe,-0.24
doer,0.19
doers,0.28
does,-0.67
doeskin,0.8
doesn't,-0.31
doff,-0.18
dog,-0.91
dogcatcher,0.08
dogfight,-0.12
dogged,-0.32
doggedly,0.22
doggone,0.5
doggy,-0.11
doghouse,-0.43
dogleg,0.46
dogma,-0.25
dogmas,0.23
dogmatic,0.15
dogmatical,0.7
dogmatism,0.59
dogmatize,0.77
dogs,-0.7
dog's,-0.58
dogtrot,0.81
dogwood,-0.28
doily,0.16
doing,-0.48
doings,-0.23
dolce,0.16
doldrums,0.48
dole,-0.24
doled,0.34
doleful,0.11
doll,-0.6
dollar,-0.67
dollars,-0.74
dollhouse,-0.32
dollies,0.19
dollop,0.2
dolls,-0.57
dolly,-0.39
dolorous,0.7
dolphin,-0.43
dolphins,-0.37
dolt,-0.06
doltish,-0.38
domain,-0.62
domains,-0.11
dome,-0.3
domed,0.26
domes,0.04
Domesday,0.79
domestic,-0.44
domestically,0.3
domesticate,0.66
domestication,0.57
domesticity,0.25
domicile,0.31
domiciled,0.66
dominance,-0.41
dominant,-0.11
dominantly,0.36
dominate,-0.13
dominated,-0.5
dominates,-0.19
dominating,-0.07
domination,-0.23
domineer,0.07
domineering,0.6
Dominic,0.62
Dominican,-0.03
dominion,0.13
Dominique,-0.12
domino,-0.1
dominoes,0.26
Don,-0.41
Donald,-0.52
donate,-0.45
donated,-0.5
donates,-0.08
donating,-0.17
donation,-0.17
donations,-0.28
done,-0.59
donkey,-0.6
Donna,-0.26
donned,0.43
donning,0.41
donor,-0.34
donors,-0.18
don't,-0.64
doo,-0.14
doodle,-0.26
doodlebug,0.61
doom,-0.66
doomed,-0.43
dooms,-0.26
Doomsday,0.16
door,-0.89
doorbell,-0.19
doorframe,0.32
doorhandle,-0.1
doorkeeper,0.17
doorknob,-0.24
doorknocker,0.12
doorman,-0.35
doormat,-0.12
doormen,-0.18
doornail,0.39
doorplate,0.32
doors,-0.77
doorstep,-0.19
doorstop,-0.39
doorway,-0.51
doorways,-0.46
dope,-0.49
doped,-0.16
dopey,0.02
Doppler,0.2
Doric,0.33
Doris,-0.02
dorm,-0.43
dormant,0.06
dormitories,0.31
dormitory,-0.07
Dorothy,-0.48
dorsal,-0.07
dosage,0.02
dosages,0.49
dose,-0.4
dosed,-0.35
doses,-0.32
dossier,0.47
Dostoevsky,0.42
Dostoevsky's,0.94
dot,-0.72
doting,0.04
dots,-0.73
dotted,-0.2
dotting,-0.15
dotty,-0.07
double,-0.6
doubled,-0.35
doubleheader,0.11
doubles,-0.47
doublethink,0.31
doubling,-0.01
doubloon,0.55
doubly,0.08
doubt,-0.7
doubted,-0.49
doubter,0.07
doubtful,-0.06
doubting,-0.2
doubtingly,0.81
doubtless,-0.19
doubts,-0.54
douche,-0.31
Doug,-0.36
dough,-0.47
doughnut,0.06
doughnuttery,1.42
doughy,0.14
dour,-0.06
dourly,0.52
douse,0.02
doused,0.27
dove,-0.49
Dover,0
doves,-0.3
dovetail,0.43
dowager,0.4
dowdy,-0.14
dowel,0.11
doweling,0.74
dower,0.12
down,-0.51
downbeat,0.11
downcast,-0.25
downed,0.23
downer,-0.05
downers,-0.01
downfall,-0.43
downgrade,0.11
downgraded,0.5
downhearted,0.3
downhill,-0.29
downing,0.02
downpayment,0.04
downpour,-0.01
downright,-0.17
downs,-0.43
downstage,0.16
downstair,-0.4
downstairs,-0.28
downstream,-0.06
downtalking,0.39
downtown,-0.48
downtrend,0.64
downtrodden,0.53
downturn,-0.21
downward,-0.26
downwind,0.14
downy,0.05
dowry,0.28
dowse,0.28
doze,-0.41
dozed,-0.23
dozen,-0.81
dozens,-0.55
dozing,-0.29
drab,-0.27
Draco,0.28
Draconian,0.29
draft,-0.55
drafted,-0.31
draftee,0.39
draftees,0.49
drafters,-0.01
drafting,-0.26
drafts,-0.73
drag,-0.51
dragged,-0.58
dragging,-0.29
dragnet,0.27
dragon,-0.67
dragonfly,-0.02
dragons,-0.62
drain,-0.63
drainage,0.17
drained,-0.45
draining,-0.35
drainpipe,0.48
drains,-0.52
drake,-0.17
dram,0.22
drama,-0.78
dramas,-0.42
dramatic,-0.48
dramatical,-0.08
dramatically,-0.2
dramatics,-0.31
dramatist,0.18
dramatists,0.59
dramatization,-0.05
dramatize,-0.11
dramatizes,0.12
dramatizing,0.11
drank,-0.28
drape,-0.31
draped,-0.09
draper,0.13
draperies,0.2
drapers,-0.02
drapery,0.02
drapes,-0.23
drastic,-0.25
drastically,0.18
drat,-0.06
draught,0.01
draughts,0.24
draughty,0.23
draw,-0.64
drawback,-0.42
drawbridge,-0.11
drawer,-0.53
drawers,-0.5
drawing,-0.49
drawings,-0.4
drawl,-0.01
drawled,-0.03
drawling,0.21
drawn,-0.39
draws,-0.58
drawstring,-0.05
dread,-0.58
dreaded,-0.24
dreadful,-0.22
dreadfully,-0.25
dreadnought,0.83
dream,-0.63
dreamboat,-0.31
dreamed,-0.45
dreamer,-0.54
dreaming,-0.4
dreamland,-0.21
dreamless,-0.51
dreamlessly,0.02
dreamlike,-0.49
dreams,-0.57
dreamt,0.49
dreamworld,-0.05
dreamy,-0.31
dreariness,0.67
dreary,-0.08
dredge,0.34
dregs,0.13
drench,-0.22
drenched,-0.23
dress,-0.75
dressed,-0.59
dresser,-0.33
dressers,-0.28
dresses,-0.6
dressing,-0.54
dressings,-0.38
dressmaker,-0.2
dressy,-0.41
drew,-0.45
dribble,-0.12
dribbled,0.23
dried,-0.58
drier,-0.28
driers,0.08
dries,-0.37
drift,-0.52
drifted,-0.06
drifter,-0.17
drifting,-0.19
drifts,-0.44
driftwood,-0.25
drill,-0.56
drilled,-0.35
drilling,-0.51
drills,-0.21
drink,-0.73
drinkable,-0.2
drinker,-0.58
drinkers,-0.54
drinkhouse,0.32
drinking,-0.68
drinks,-0.79
drip,-0.54
dripped,-0.18
dripping,-0.14
drips,-0.44
drive,-0.72
drivel,0.51
driven,-0.54
driver,-0.73
drivers,-0.58
driver's,-0.63
drives,-0.42
driveway,-0.27
driveways,-0.23
driving,-0.4
drizzle,-0.38
drizzling,-0.24
drizzly,-0.13
dromedary,1.04
drone,0.3
drones,-0.02
drool,-0.36
droop,-0.25
drooped,0.02
drooping,-0.06
drop,-0.63
dropkick,0.21
droplet,0.02
droplets,-0.14
dropout,-0.03
dropouts,-0.04
dropped,-0.41
dropper,-0.25
dropping,-0.32
droppings,-0.23
drops,-0.56
dropsy,0.04
drought,-0.22
droughts,0.01
drove,-0.21
droves,0.12
drown,-0.57
drowned,-0.38
drowning,-0.3
drowns,-0.24
drowse,-0.13
drowsed,-0.02
drowsily,0.15
drowsing,-0.24
drowsy,-0.44
drudge,-0.01
drudgery,0.43
drug,-0.7
drugged,-0.16
drugging,-0.08
druggist,-0.1
drugless,0.2
drugs,-0.58
drug's,-0.55
drugstore,-0.41
drugstores,-0.17
druid,-0.01
drum,-0.53
drumbeat,-0.04
drumfire,0.54
drumhead,0.17
drummed,-0.24
drummer,-0.44
drummers,-0.49
drummer's,-0.11
drumming,-0.04
drums,-0.55
drumstick,-0.41
drunk,-0.63
drunkard,0.18
drunkards,-0.08
drunkard's,0.45
drunken,-0.53
drunkenly,-0.07
drunkenness,0.33
drunker,-0.06
drunks,-0.71
dry,-0.76
dryad,0.96
dryer,-0.44
drying,-0.49
dryly,-0.18
dryness,-0.4
drywall,-0.05
dual,-0.65
dualism,-0.3
dualities,0.38
dub,0.1
dubbed,-0.23
dubious,-0.04
Dublin,-0.07
ducat,0.56
duchess,-0.17
duck,-0.8
duckbill,0.2
ducked,-0.3
ducking,-0.23
duckling,-0.02
ducks,-0.64
duckweed,0.24
ducky,0.01
duct,-0.33
ductile,0.27
ducts,-0.29
ductwork,0.74
dud,-0.06
dude,-0.67
duds,-0.08
due,-0.7
duel,-0.5
dueling,-0.18
dueller,0.39
duellist,0.39
duels,-0.46
duet,-0.39
duets,-0.32
duffel,0.08
dug,-0.35
dugout,-0.09
duke,-0.62
dukedom,0.53
dukes,-0.33
duke's,-0.12
dulcimer,0.63
dull,-0.5
dullard,-0.13
dulled,0.17
duller,-0.03
Dulles,0.38
dullest,-0.25
dullness,-0.29
dulls,-0.18
dully,-0.23
duly,-0.07
Dumas,0.43
dumb,-0.58
dumbbell,0.15
dumbbells,0.19
dumbwaiter,1.07
dumdum,0.67
dummies,-0.27
dummy,-0.37
dump,-0.53
dumped,-0.49
dumping,-0.39
dumpling,-0.15
dumps,-0.3
dumpy,-0.29
dun,-0.26
dunce,-0.13
dunderhead,0.7
dune,-0.39
dunes,-0.45
dung,0.03
dungaree,0.63
dungeon,-0.23
dunghill,0.61
dunk,-0.19
duo,0.08
duodenum,0.76
duologue,0.93
dupe,-0.14
duped,-0.31
duplex,-0.24
duplicable,0.4
duplicate,-0.38
duplicated,-0.15
duplication,-0.18
duplicity,-0.16
durable,-0.34
duration,-0.41
durations,-0.08
duress,0.17
during,-0.49
dusk,-0.6
dusky,-0.12
Dusseldorf,0.52
dust,-0.71
dustbin,0.51
dustbowl,-0.15
dustcoat,0.85
dusted,-0.32
duster,-0.23
dusting,-0.38
dustless,0.13
dustpan,-0.04
dusts,-0.48
dusty,-0.6
Dutch,-0.53
dutchess,0.09
Dutchman,-0.1
duties,-0.43
dutiful,0.32
duty,-0.67
duvet,0.18
dwarf,-0.28
dwarfed,-0.05
dwarfs,-0.24
dwell,-0.43
dweller,-0.11
dwellers,-0.19
dwelling,-0.21
dwellings,-0.47
dwells,-0.31
dwelt,-0.09
dwindle,-0.05
dwindled,-0.01
dwindling,0.23
dye,-0.35
dyed,-0.28
dyeing,0.25
dyestuff,1.16
dying,-0.61
Dylan,-0.03
dynamic,-0.31
dynamical,0.28
dynamically,0.34
dynamics,-0.17
dynamism,0.24
dynamite,0.07
dynamited,0.93
dynamo,0.31
dynastic,0.2
dynasties,0.29
dynasty,-0.18
dysentery,0.56
dyslexia,0.22
dyspeptic,0.81
dystrophy,0.54
each,-0.59
eager,-0.38
eagerly,-0.01
eagerness,-0.05
eagle,-0.51
eagles,-0.61
eagle's,-0.5
eaglet,0.06
ear,-0.83
earache,0.31
eardrop,-0.14
eardrum,-0.31
eardrums,-0.13
eared,0.01
earl,-0.14
earldom,1
earlier,-0.61
earliest,-0.33
earliness,0.11
earlobe,-0.21
early,-0.8
earmark,0.23
earmarked,0.49
earmuff,0.39
earn,-0.71
earned,-0.55
earnest,-0.19
earnestly,-0.17
earnestness,0.89
earning,-0.48
earnings,-0.41
earns,-0.43
earphone,-0.22
earphones,-0.26
earpiece,-0.14
earplug,-0.19
earring,-0.31
earrings,-0.24
ears,-0.55
earshot,-0.22
earsplitting,0.62
earth,-0.76
earthbound,-0.02
earthen,0.45
earthenware,1.15
earthling,0.13
earthly,-0.43
earthmoving,0.43
earthquake,-0.25
earthquakes,-0.18
earth's,-0.61
earthshaking,-0.13
earthworm,-0.07
earthy,-0.32
earwax,-0.13
ease,-0.55
eased,-0.36
easel,-0.14
easement,0.11
easements,0.72
easier,-0.52
easiest,-0.25
easily,-0.37
easing,-0.19
east,-0.62
eastbound,-0.19
Easter,-0.44
eastern,-0.38
easterner,0.81
easterners,0.6
easternmost,0.77
eastward,-0.2
easy,-0.62
easygoing,0
eat,-0.85
eatable,0.25
eaten,-0.51
eaters,-0.53
eating,-0.6
eats,-0.69
eavesdrop,0.15
ebb,-0.08
ebbing,0.22
ebbs,-0.09
ebony,-0.32
eccentric,0.03
eccentricities,1.03
eccentricity,0.56
eccentrics,0.58
ecclesiastic,1.04
ecclesiastical,0.96
echelon,0
echelons,0.15
echo,-0.44
echoed,-0.18
echoes,-0.19
echoing,-0.09
eclair,0.32
eclectic,0.26
eclectically,0.95
eclecticism,0.93
eclipse,-0.32
eclipsed,-0.17
eclipses,-0.18
eclipsing,0.49
ecliptic,0.39
ecological,0.18
ecology,-0.07
economic,-0.05
economical,-0.04
economically,0.36
economics,-0.31
economies,-0.04
economist,-0.06
economists,0.01
economist's,-0.01
economize,0.15
economizing,0.13
economy,-0.51
ecosystem,-0.02
ecru,0.64
ecstasy,-0.21
ecstatic,0.28
ectoplasm,0.98
Ecuador,0.19
ecumenical,1.51
eczema,0.56
Eddie,-0.51
eddies,0.44
Eddie's,-0.23
eddy,0.06
edema,0.48
Eden,-0.3
Edgar,-0.19
edge,-0.7
edged,-0.55
edges,-0.63
edgewise,0.22
edging,-0.12
edgy,0.01
edible,-0.06
edification,0.51
edifice,0.27
edified,0.14
edify,0.29
edifying,0.06
Edison,-0.48
Edison's,-0.14
edit,-0.39
edited,-0.47
Edith,-0.02
editing,-0.37
edition,-0.34
editions,-0.3
editor,-0.69
editorial,-0.24
editorialist,0.62
editorialize,1
editorials,-0.15
editors,-0.51
editor's,-0.46
editorship,0.57
educate,-0.5
educated,-0.2
educating,-0.26
education,-0.54
educational,0.27
educations,-0.06
educator,-0.05
educators,-0.13
educator's,0
Edward,-0.46
Edward's,-0.41
eel,-0.18
eerie,0.12
eerily,0.25
effect,-0.6
effected,-0.21
effecting,0.29
effective,-0.2
effectively,-0.06
effectiveness,0.15
effects,-0.51
effectual,0.38
effectuate,1.05
effeminate,1.11
effervesce,0.72
effervescent,0.55
efficacious,0.62
efficacy,0.19
efficiencies,1.09
efficiency,-0.15
efficient,-0.29
efficiently,0.1
effigy,0.43
effloresce,-0.25
efflorescence,0.32
efflorescent,2.02
effluent,0.25
effluents,0.78
effluvium,-0.09
effort,-0.62
effortless,-0.21
effortlessly,0.03
efforts,-0.54
effuse,0.28
effusion,0.03
effusive,0.21
egalitarian,1.37
egalitarianism,0.95
egg,-0.81
eggbeater,-0.17
eggcup,0.47
egged,0.13
egghead,-0.4
eggnog,-0.04
eggplant,-0.4
eggs,-0.74
eggshell,-0.25
ego,-0.65
egocentric,0.63
egocentricity,1.3
egoism,0.21
egoist,0.12
ego's,-0.45
egotism,0.11
egotist,0.35
egotist's,0.76
egotrip,0.47
egregious,0.81
egregiously,0.65
egret,1.06
egrets,0.25
Egypt,-0.57
Egyptian,-0.18
Egyptians,-0.22
eh,0.41
eidetic,1.03
eight,-0.73
eighteen,-0.19
eighteenth,-0.01
eighth,-0.32
eighties,-0.12
eightieth,0.67
eightpence,0.78
eightpenny,0.72
eighty,-0.43
Eileen,-0.2
Eileen's,-0.29
Einstein,-0.25
Einstein's,-0.04
Eisenhower,-0.01
Eisenhower's,0.1
either,-0.35
ejaculate,0.29
ejaculated,0.29
ejaculation,0.27
eject,-0.5
ejected,-0.65
ejection,-0.1
ejector,0.11
eked,-0.16
elaborate,-0.3
elaborated,-0.14
elaborately,0.07
elaborates,0.08
elaboration,-0.04
Elaine,-0.47
Elaine's,-0.36
elapse,-0.2
elapsed,-0.4
elapses,-0.11
elastic,-0.42
elasticity,0.05
elate,0.06
elated,-0.21
elation,-0.1
elbow,-0.74
elbowing,0.15
elbowroom,0.71
elbows,-0.43
elder,-0.31
elderberry,0.65
elderflower,0.97
elderly,-0.41
elders,-0.47
eldest,-0.15
Eleanor,-0.16
elect,-0.5
elected,-0.32
electing,0.23
election,-0.51
electioneer,0.46
elections,-0.28
elective,-0.42
electives,-0.29
elector,0.1
electoral,-0.12
electorate,0.75
electors,-0.1
electric,-0.07
electrical,-0.41
electrically,0.22
electrician,-0.02
electricity,-0.2
electric's,0.01
electrification,1.24
electrify,-0.15
electrifying,0.5
electrocardiogram,1.46
electrocardiograph,1.33
electrochemistry,1.49
electrocute,0.77
electrocution,1.05
electrode,0.18
electrodynamics,1.52
electrolysis,0.97
electrolyte,0.73
electromagnet,1.15
electromagnetic,0.45
electromagnetism,0.81
electromyography,1.24
electron,0.18
electronic,-0.2
electronically,0.4
electronics,0.12
electrons,0.01
electroplate,1.19
electroshock,0.73
electroshocks,0.92
electrostatic,0.78
elegance,-0.48
elegances,-0.01
elegant,-0.33
elegantly,-0.26
element,-0.63
elemental,-0.23
elementary,-0.28
elements,-0.54
elephant,-0.41
elephantine,0.75
elephants,-0.36
elephant's,-0.22
elevate,-0.22
elevated,-0.19
elevates,0.02
elevation,-0.17
elevator,-0.4
eleven,-0.63
eleventh,-0.26
elf,-0.46
elfin,0.29
elicit,-0.13
elicitation,0.42
elicited,0.1
elicits,0.2
eligibility,-0.34
eligible,-0.26
Elijah,-0.14
eliminate,-0.34
eliminated,-0.13
eliminates,0.04
eliminating,-0.18
elimination,-0.16
eliminations,0.22
elite,-0.4
elitism,0.41
elitist,0.5
elixir,0.16
Elizabeth,-0.2
Elizabethan,0.41
Elizabethans,0.58
elk,-0.38
elks,-0.35
Ellen,-0.39
Elliott,-0.19
ellipse,-0.29
ellipses,-0.38
ellipsis,0.48
ellipsoid,0.61
ellipsoids,0.6
elliptical,0.28
elm,-0.16
Elmer,-0.11
Elmira,-0.1
elms,-0.15
elocution,0.22
elongate,0.06
elongated,0.16
elongation,0.18
elope,-0.12
eloped,0.08
elopement,0.77
eloquence,0.18
eloquent,-0.22
else,-0.22
else's,-0.39
elsewhere,-0.59
elucidate,0.69
elucidated,1.19
elucidation,0.34
elude,-0.02
eluded,-0.19
eludes,-0.08
eluding,0.04
elusion,0.04
elusive,-0.22
elusiveness,0.47
elusory,0.47
Elvis,-0.34
emaciate,0.3
emaciated,0.23
emaciation,0.71
emanated,0.43
emanating,0.3
emanation,0.07
emanations,1.48
emancipate,0.56
emancipated,0.48
emancipation,0.4
emancipator,0.81
emasculate,0.65
emasculated,0.57
emasculation,0.79
embalm,0.12
embalmment,1.2
embank,0.26
embankment,0.53
embargo,-0.07
embark,-0.12
embarkation,0.93
embarked,-0.35
embarrass,0.1
embarrassed,-0.26
embarrassing,-0.15
embarrassingly,0.97
embarrassment,0
embassies,0.5
embassy,-0.42
embattled,0.04
embed,0.42
embedded,0.02
embellish,-0.1
embellished,0.19
embellishment,0.35
ember,0.1
embezzle,0.01
embezzlement,0.31
embezzling,0.08
embitter,0.31
embittered,0.65
emblazon,0.27
emblem,-0.16
emblematic,0.68
embodied,-0.29
embodies,0.22
embodiment,0.53
embodiments,0.59
embody,0.15
embodying,0.47
embolden,0.22
emboldened,0.86
embolism,0.61
emboss,-0.17
embossed,-0.06
embrace,-0.32
embraced,-0.02
embraces,-0.32
embracing,-0.21
embroider,0.19
embroidered,0.07
embroideries,0.92
embroidery,0.28
embroil,0.13
embroiled,-0.03
embryo,-0.2
embryonic,0.33
emcee,0.76
emerald,-0.15
emeralds,-0.35
emerge,-0.55
emerged,-0.39
emergence,0.17
emergencies,-0.02
emergency,-0.27
emergent,0.03
emerges,-0.26
emerging,-0.28
emeritus,1
emery,0.43
emigrant,0.66
emigrate,0.26
emigrated,0.33
emigrating,0.39
emigration,0.7
eminence,0.04
eminent,0.04
eminently,0.46
emir,0.28
emissaries,0.71
emissary,0.52
emission,0.08
emit,-0.1
emitted,-0.23
emitting,0.13
Emma,-0.16
Emmanuel,-0.06
Emma's,-0.29
emollient,0.55
emote,0.21
emotion,-0.52
emotional,-0.5
emotionalism,0.6
emotionality,0.36
emotionally,-0.08
emotionless,-0.18
emotions,-0.49
emotive,0.32
empathy,-0.1
emperor,-0.18
emperors,0.08
emperor's,0.07
emphases,0.56
emphasis,-0.19
emphasize,-0.42
emphasized,-0.29
emphasizes,-0.18
emphasizing,-0.05
emphatic,0.14
emphatically,0.3
emphysema,0.84
empire,-0.54
empires,-0.39
empiric,0.56
empirical,0.01
empirically,0.2
empiricism,0.48
empiricist,0.39
employ,-0.33
employable,0.5
employed,-0.16
employee,-0.33
employees,-0.36
employee's,-0.32
employer,-0.54
employers,-0.17
employing,-0.27
employment,-0.16
employs,-0.2
emporium,0.1
empower,0
empowered,0.46
empowering,0.36
empress,-0.23
emptied,0.02
emptier,0.61
empties,-0.02
emptiness,-0.17
empty,-0.81
emptying,0.22
emu,0.34
emulate,-0.23
emulated,0.08
emulation,0.13
emulsified,0.69
emulsify,0.42
emulsion,-0.12
enable,-0.4
enabled,-0.38
enables,-0.31
enabling,-0.1
enact,0
enacted,-0.04
enacting,0.27
enactment,0.26
enamel,-0.04
enameling,0.63
enamelled,0.99
enamelware,1.28
enamour,0.48
encamp,0.51
encamped,0.04
encampment,0.54
encapsulate,0.69
encase,0.1
encased,0.13
encephalic,0.74
encephalitis,1.36
enchain,0.32
enchained,0.32
enchant,-0.18
enchanted,-0.32
enchanter,0.03
enchanting,-0.15
enchantingly,0.74
enchantment,-0.06
enchantress,0.24
encipher,0.65
enciphered,0.62
encircle,0
encircled,0.26
encirclement,0.8
enclave,-0.01
enclaves,0.43
enclose,-0.43
enclosed,-0.45
encloses,-0.13
enclosing,-0.47
enclosure,-0.34
encode,-0.01
encompass,0.24
encompassed,0.15
encompasses,0.49
encore,-0.17
encores,0.15
encounter,-0.25
encountered,-0.37
encounters,-0.36
encourage,-0.38
encouraged,-0.22
encouragement,0.21
encourages,-0.12
encouraging,-0.23
encouragingly,0.87
encroach,0.64
encroached,0.57
encroaching,0.76
encroachment,0.68
encrust,0.35
encrustation,1.71
encrusted,0.26
encumber,0.35
encumbered,0.77
encumbrances,0.95
encyclopedia,0.28
encyclopedias,0.68
encyclopedic,0.55
end,-0.72
endanger,0.08
endangered,-0.07
endangering,0.23
endeared,0.29
endearing,-0.11
endearment,0.02
endearments,0.52
endeavor,-0.39
endeavored,0.21
endeavoring,0.26
endeavors,-0.18
ended,-0.53
endemic,0.35
endgame,0.37
ending,-0.61
endings,-0.34
endive,0.44
endless,-0.66
endlessly,-0.27
endocrine,-0.06
endogamous,0.82
endogamy,0.67
endogenous,0.59
endorse,-0.5
endorsed,-0.37
endorsement,-0.12
endorsing,0.34
endothermic,0.82
endow,0
endowed,-0.11
endowment,0.23
endowments,0.23
endows,-0.09
endpoints,-0.2
ends,-0.69
endurable,-0.29
endurance,-0.48
endure,-0.51
endured,-0.22
endures,-0.34
enduring,-0.3
enduringly,0.36
enema,0.26
enemies,-0.42
enemy,-0.63
enemy's,-0.24
energetic,-0.19
energies,0.04
energize,-0.21
energized,-0.31
energizes,-0.21
energy,-0.46
enervate,0.56
enervating,0.97
enervation,1.27
enfeeble,0.54
enfold,0.13
enforce,-0.32
enforceable,0.44
enforced,-0.15
enforcement,0.19
enforcers,0.2
enforces,-0.24
enforcing,-0.16
enfranchise,0.6
enfranchisement,1
engage,-0.2
engaged,-0.52
engagement,-0.21
engagements,-0.03
engages,-0.24
engaging,-0.31
engagingly,0.74
engender,0.89
engendered,0.51
engine,-0.56
engineer,-0.47
engineering,-0.29
engineers,-0.27
engines,-0.28
engine's,-0.52
England,-0.5
